Název;Cena;URL;Cena_cista;Dispozice;Plocha_m2;Lokalita
Pronájem bytu 1+kk 26 m²Lorencova, Zlín;1​0​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-lorencova/1268953932;10900.0;1+kk;26.0;Lorencova, Zlín
Pronájem bytu 1+kk 31 m²J. A. Bati, Zlín;C​e​n​a​ ​n​a​ ​v​y​ž​á​d​á​n​í​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-j-a-bati/2892255820;;1+kk;31.0;J. A. Bati, Zlín
Pronájem bytu 1+kk 37 m²Zelinova, Zlín;1​1​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-zelinova/602452812;11500.0;1+kk;37.0;Zelinova, Zlín
Pronájem bytu 1+kk 44 m²Osvobození, Slavičín;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/slavicin-slavicin-osvobozeni/2048213580;11000.0;1+kk;44.0;Osvobození, Slavičín
Pronájem bytu 1+kk 30 m²Podlesí II, Zlín;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-podlesi-ii/1535353676;10000.0;1+kk;30.0;Podlesí II, Zlín
Pronájem bytu 1+kk 38 m²Pod Křiby, Zlín;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-pod-kriby/2290328396;11000.0;1+kk;38.0;Pod Křiby, Zlín
Pronájem bytu 1+kk 30 m²Leoše Janáčka, Luhačovice;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/luhacovice-luhacovice-leose-janacka/3640889932;10000.0;1+kk;30.0;Leoše Janáčka, Luhačovice
Pronájem bytu 1+1 38 m²Dřevnická, Zlín;9​ ​4​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-drevnicka/1731158604;9400.0;1+1;38.0;Dřevnická, Zlín
Pronájem bytu 2+1 44 m²Podlesí III, Zlín;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-podlesi-iii/2323755852;15000.0;2+1;44.0;Podlesí III, Zlín
Pronájem bytu 3+1 65 m²Zlín - Malenovice;1​8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-malenovice-/3547222604;18000.0;3+1;65.0;Zlín - Malenovice
